run,temperature,atoms,composition,system,fraction_mean,fraction_std,fraction_sem,fraction_count,fraction_std_percent,fraction_sem_percent
nvt/nvt_Al1848-Sm160-Cu40,300.0,2048,Al1848Sm160Cu40,AlSmCu,0.5028515948365065,0.012146626448903694,0.0012146626448903694,100,2.4155489559206744,0.24155489559206747
nvt/nvt_Al1848-Sm160-Cu40,800.0,2048,Al1848Sm160Cu40,AlSmCu,0.34026218439569533,0.004668505631659117,0.00046685056316591174,100,1.3720318759342505,0.13720318759342506
nvt/nvt_Al1848-Sm160-Cu40,1300.0,2048,Al1848Sm160Cu40,AlSmCu,0.16466935921978476,0.0014307141871654026,0.00014307141871654027,100,0.8688405626549038,0.08688405626549038
nvt/nvt_Al1888-Sm160,300.0,2048,Al1888Sm160,AlSm,0.5665577788700331,0.01084705663218052,0.0010847056632180521,100,1.9145543555706448,0.19145543555706446
nvt/nvt_Al1888-Sm160,800.0,2048,Al1888Sm160,AlSm,0.3913996533526489,0.007676726879384877,0.0007676726879384877,100,1.9613524983038726,0.19613524983038724
nvt/nvt_Al1888-Sm160,1300.0,2048,Al1888Sm160,AlSm,0.18193951133071198,0.0016848262048634103,0.00016848262048634104,100,0.9260364571392614,0.09260364571392614
nvt/nvt_Al231-Sm20-Cu5,300.0,256,Al231Sm20Cu5,AlSmCu,0.5029646109271522,0.03289253272312273,0.0032892532723122732,100,6.539731028489156,0.6539731028489156
nvt/nvt_Al231-Sm20-Cu5,800.0,256,Al231Sm20Cu5,AlSmCu,0.3440684499172185,0.015225303960685556,0.0015225303960685556,100,4.425079941025892,0.4425079941025893
nvt/nvt_Al231-Sm20-Cu5,1300.0,256,Al231Sm20Cu5,AlSmCu,0.16543744826158938,0.004356477599055706,0.0004356477599055706,100,2.6333080235662556,0.2633308023566256
nvt/nvt_Al236-Sm20,300.0,256,Al236Sm20,AlSm,0.5715169701986754,0.03609276052564324,0.003609276052564324,100,6.315256135455852,0.6315256135455851
nvt/nvt_Al236-Sm20,800.0,256,Al236Sm20,AlSm,0.3956164631622518,0.016429440484173496,0.0016429440484173497,100,4.152870776117168,0.41528707761171685
nvt/nvt_Al236-Sm20,1300.0,256,Al236Sm20,AlSm,0.18199192880794712,0.004023559179763231,0.00040235591797632307,100,2.2108448468663804,0.22108448468663805
nvt/nvt_Al6237-Sm540-Cu135,300.0,6912,Al6237Sm540Cu135,AlSmCu,0.5010601679390482,0.006436780859899176,0.0006436780859899176,100,1.284632319981616,0.1284632319981616
nvt/nvt_Al6237-Sm540-Cu135,800.0,6912,Al6237Sm540Cu135,AlSmCu,0.3367831547400049,0.002721792582024595,0.0002721792582024595,100,0.8081736107394701,0.08081736107394703
nvt/nvt_Al6237-Sm540-Cu135,1300.0,6912,Al6237Sm540Cu135,AlSmCu,0.1646701005641403,0.0007831586373352289,7.83158637335229e-05,100,0.4755924935080625,0.04755924935080625
nvt/nvt_Al6372-Sm540,300.0,6912,Al6372Sm540,AlSm,0.566078496750061,0.0065436624114625285,0.0006543662411462529,100,1.1559637840035695,0.11559637840035694
nvt/nvt_Al6372-Sm540,800.0,6912,Al6372Sm540,AlSm,0.3893109689262939,0.0037692502428734636,0.00037692502428734635,100,0.968184958484197,0.0968184958484197
nvt/nvt_Al6372-Sm540,1300.0,6912,Al6372Sm540,AlSm,0.18160170621780722,0.0009551638910191459,9.551638910191459e-05,100,0.5259663639247714,0.05259663639247713
